Código,Região,UF,nome_meso,nome_micro,Município,IFDM,Educação,Emprego e Renda,Saúde,desenvolvimento
110015,Norte,RO,Leste Rondoniense,Ji-Paraná,OURO PRETO DO OESTE,0.6844022873905552,0.7495845927681135,0.5477711498264808,0.7558511195770713,Moderado
110018,Norte,RO,Leste Rondoniense,Vilhena,PIMENTA BUENO,0.745939708617531,0.7800924369747899,0.5870544671164932,0.8706722217613102,Moderado
110020,Norte,RO,Madeira-Guaporé,Porto Velho,PORTO VELHO,0.6984683002781302,0.7081730210510759,0.6219008919293909,0.765330987853924,Moderado
110025,Norte,RO,Leste Rondoniense,Ji-Paraná,PRESIDENTE MÉDICI,0.5967506076653226,0.7695539124740807,0.3492599039531334,0.6714380065687537,Regular
110026,Norte,RO,Leste Rondoniense,Ariquemes,RIO CRESPO,0.6787900251281751,0.6499789915966387,0.5441168003371326,0.8422742834507541,Moderado
110028,Norte,RO,Leste Rondoniense,Cacoal,ROLIM DE MOURA,0.6882174180811848,0.7785339014110317,0.5591594774281219,0.7269588754044009,Moderado
110029,Norte,RO,Leste Rondoniense,Cacoal,SANTA LUZIA D'OESTE,0.6341633746124661,0.7551180216942743,0.352074825330407,0.7952972768127171,Moderado
110030,Norte,RO,Leste Rondoniense,Vilhena,VILHENA,0.7612739079006726,0.7634117883940046,0.6381730572779984,0.8822368780300153,Moderado
110032,Norte,RO,Leste Rondoniense,Alvorada D'Oeste,SÃO MIGUEL DO GUAPORÉ,0.6305078412980263,0.6982568923207277,0.4145076398979987,0.7787589916753529,Moderado
110033,Norte,RO,Madeira-Guaporé,Porto Velho,NOVA MAMORÉ,0.5173748254583529,0.6482312245574587,0.2933405941360715,0.6105526576815286,Regular
110034,Norte,RO,Leste Rondoniense,Alvorada D'Oeste,ALVORADA D'OESTE,0.6566971862994594,0.7198929559284529,0.4548663399148704,0.7953322630550549,Moderado
110037,Norte,RO,Leste Rondoniense,Cacoal,ALTO ALEGRE DOS PARECIS,0.5877860623910776,0.6776595630854897,0.4015956009103508,0.6841030231773926,Regular
